"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1997/98","S08000024"," ",1,"SMR04"," ","1050"," ","1214.2"," ","660"," ","763.21"," ","180"," ","208.15"," "
"1997/98","S08000024"," ",2,"SMR04"," ","1550"," ","988.83"," ","1025"," ","653.9"," ","250"," ","159.49"," "
"1997/98","S08000024"," ",3,"SMR04"," ","940"," ","746.02"," ","605"," ","480.15"," ","180"," ","142.85"," "
"1997/98","S08000024"," ",4,"SMR04"," ","765"," ","547.45"," ","495"," ","354.23"," ","255"," ","182.48"," "
"1997/98","S08000024"," ",5,"SMR04"," ","1035"," ","404.6"," ","710"," ","277.55"," ","230"," ","89.91"," "
"1997/98","S08000025"," ",1,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000025"," ",2,"SMR04"," ","5"," ","252.14"," ","5"," ","252.14"," ","5"," ","252.14"," "
"1997/98","S08000025"," ",3,"SMR04"," ","30"," ","390.98"," ","25"," ","325.82"," ","5"," ","65.16"," "
"1997/98","S08000025"," ",4,"SMR04"," ","10"," ","126.15"," ","10"," ","126.15"," ","5"," ","63.08"," "
"1997/98","S08000025"," ",5,"SMR04"," ","5"," ","228.62"," ","5"," ","228.62"," ","0"," ","0"," "
"1997/98","S08000026"," ",1,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000026"," ",2,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000026"," ",3,"SMR04"," ","15"," ","239.73"," ","10"," ","159.82"," ","0"," ","0"," "
"1997/98","S08000026"," ",4,"SMR04"," ","35"," ","240.78"," ","30"," ","206.38"," ","5"," ","34.4"," "
"1997/98","S08000026"," ",5,"SMR04"," ","5"," ","245.46"," ","5"," ","245.46"," ","0"," ","0"," "
"1997/98","S08000030"," ",1,"SMR04"," ","985"," ","1341.47"," ","645"," ","878.42"," ","140"," ","190.67"," "
"1997/98","S08000030"," ",2,"SMR04"," ","610"," ","953.62"," ","420"," ","656.59"," ","120"," ","187.6"," "
"1997/98","S08000030"," ",3,"SMR04"," ","450"," ","654.16"," ","320"," ","465.18"," ","100"," ","145.37"," "
"1997/98","S08000030"," ",4,"SMR04"," ","510"," ","431.98"," ","380"," ","321.86"," ","260"," ","220.22"," "
"1997/98","S08000030"," ",5,"SMR04"," ","310"," ","436.1"," ","215"," ","302.46"," ","150"," ","211.02"," "
"1997/98","S08000028"," ",1,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000028"," ",2,"SMR04"," ","90"," ","618.39"," ","55"," ","377.9"," ","10"," ","68.71"," "
"1997/98","S08000028"," ",3,"SMR04"," ","105"," ","786.16"," ","70"," ","524.11"," ","20"," ","149.75"," "
"1997/98","S08000028"," ",4,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000028"," ",5,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
